names,ProfileLinks,topics,citations,titles,delta
carol j kaffenberger,https://scholar.google.com//citations?hl=en&user=QEUfblwAAAAJ,"school counselors, using data, school reentry",1104,"Associate Professor Emerita, George Mason University",#N/A
Wing Lam,https://scholar.google.com//citations?hl=en&user=OXYaXQsAAAAJ,,1103,George Mason University,#N/A
Wassim Itani,https://scholar.google.com//citations?hl=en&user=vuUUR9YAAAAJ,"Privacy in Cloud Computing, Energy Efficiency in the Cloud, Security and Cryptography",1093,"Associate Professor of Computer Science, George Mason University",10
Pilgyu Kang,https://scholar.google.com//citations?hl=en&user=Mcuwu0UAAAAJ,"mechanics, photonics, 2D materials, optoelectronics plasmonics, optofluidics",1080,George Mason University,28
Rajiv Satsangi,https://scholar.google.com//citations?hl=en&user=xMpHAlwAAAAJ,"Mathematics, Technology, Learning Disabilities",1071,George Mason University,#N/A
Terry Myers Zawacki,https://scholar.google.com//citations?hl=en&user=vAF54TIAAAAJ,https://scholar.google.com/citations?hl …,1070,emerita professor George Mason University,#N/A
Jeremy Mayer,https://scholar.google.com//citations?hl=en&user=Hh8h9I8AAAAJ,"Political Science, Public Opinion, Elections",1069,"George Mason University, School of Public Policy",#N/A
Kristien Zenkov,https://scholar.google.com//citations?hl=en&user=omFHxAIAAAAJ,"Teacher education, visual sociology, social justice education, English education",1068,George Mason University,#N/A
Jill Nelson,https://scholar.google.com//citations?hl=en&user=8zxSGcgAAAAJ,Signal Processing,1067,George Mason University,15
Emanuela Marasco,https://scholar.google.com//citations?hl=en&user=moyHyGsAAAAJ,"Pattern Recognition, Machine Learning, Biometrics, Computer Vision",1058,"Assistant Professor, George Mason University",#N/A
James C. Cooper,https://scholar.google.com//citations?hl=en&user=nYEyFMYAAAAJ,"Privacy, Antitrust, Law & Economics",1058,"Antonin Scalia Law School, George Mason University",#N/A
Fangyu Cao,https://scholar.google.com//citations?hl=en&user=ol3QBMQAAAAJ,"thermal management, thermal storage, nanoscale heat transfer, phase transition, desalination",1057,George Mason university,#N/A
Iccha Basnyat,https://scholar.google.com//citations?hl=en&user=WX6nWboAAAAJ,"gender and health, health inequalities, global health communication, information seeking, pandemic",1052,George Mason University,#N/A
Michael P. Gilmore,https://scholar.google.com//citations?hl=en&user=B5zNqbsAAAAJ,"Ethnobiology, biocultural conservation, community-based conservation, and sustainable development",1049,"Associate Professor, George Mason University",#N/A
Rajesh Ganesan,https://scholar.google.com//citations?hl=en&user=S6MvM_UAAAAJ,Stochastic optimization,1039,George Mason University,#N/A
Vincent Geloso,https://scholar.google.com//citations?hl=en&user=yw4XCKsAAAAJ,"Economic History, Public Choice Theory, Political Economy, Economic Growth",1027,"Assistant Professor of Economics, George Mason University",#N/A
Martha W. Buckley,https://scholar.google.com//citations?hl=en&user=8euBTz4AAAAJ,"oceanography, climate",1026,George Mason University,#N/A
Yue WANG,https://scholar.google.com//citations?hl=en&user=aePNtVgAAAAJ,"Machine Learning, Signal Processing, Wireless Communications, NextG wireless techniques, Trustworthy AI",1024,"Electrical and Computer Engineering, George Mason University",#N/A
Jia Guo,https://scholar.google.com//citations?hl=en&user=xKg6MZkAAAAJ,"Molecular & Cellular Biology, Neuroscience, Virology, Cell Biology, Immunology",1023,"Research Assistant Professor, George Mason University",#N/A
"Ekawat Homsirikamol, PhD",https://scholar.google.com//citations?hl=en&user=JaY1brsAAAAJ,"Computer Engineering, Algorithms, Design Automation",1020,George Mason University,#N/A
Audra Parker,https://scholar.google.com//citations?hl=en&user=Stc61YoAAAAJ,teacher education,1020,George Mason University,#N/A
Mary Nelson,https://scholar.google.com//citations?hl=en&user=AmXA6YsAAAAJ,math education,1020,"Professor of Mathematics, GMU",#N/A
Laurie Meamber,https://scholar.google.com//citations?hl=en&user=uKecDegAAAAJ,Arts and aesthetics marketing and …,1005,George Mason University,#N/A
Parag V. Chitnis,https://scholar.google.com//citations?hl=en&user=kVkXPvIAAAAJ,Diagnostic and therapeutic applications of …,1003,"Department of Bioengineering, George Mason University",#N/A
Jennifer Nicoll Victor,https://scholar.google.com//citations?hl=en&user=LjXiPUUAAAAJ,"American politics, congress, interest groups, social networks",996,"Associate Professor of Political Science, George Mason University",#N/A
James D. Willett,https://scholar.google.com//citations?hl=en&user=EwepbdsAAAAJ,"metabolic profiling, aging, C.elegans, metabolomics",992,"Director, School of Systems Biology, George Mason University",#N/A
Gautham Vadakkepatt,https://scholar.google.com//citations?hl=en&user=YckE7d0AAAAJ,"government-business relationship, social media, innovation, marketing strategy",986,george mason university,#N/A
Mirae Kim,https://scholar.google.com//citations?hl=en&user=gbNTcf0AAAAJ,"Nonprofit Management, Financial Management, Arts Organizations",982,"Associate Professor, Schar School of Policy and Government, George Mason University",#N/A
Lei Yang,https://scholar.google.com//citations?hl=en&user=UTTE_wEAAAAJ,"System-Level Optimization for Applied …, Automated machine learning, Hardware/Software co-design for neural archi",973,George Mason University,#N/A
Justin King,https://scholar.google.com//citations?hl=en&user=TDlDWZkAAAAJ,"Neuroscience, Receptor Signaling, Cell Biology, Molecular Neuroscience, Proteomics",969,George Mason University,#N/A
David Lattanzi,https://scholar.google.com//citations?hl=en&user=AM-EsHkAAAAJ,civil engineering,968,George Mason University,11
Zhisheng Yan,https://scholar.google.com//citations?hl=en&user=i6ePuTMAAAAJ,"Immersive Computing, AR/VR Systems and Security, Mobile and IoT Systems, Multimedia Systems",961,George Mason University,#N/A
Geoffrey J. Gilleaudeau,https://scholar.google.com//citations?hl=en&user=iN4jOowAAAAJ,"Sedimentary Geology, Geochemistry, Paleoceanography, Earth History",951,"Assistant Professor, George Mason University",#N/A
Andy Kilianski,https://scholar.google.com//citations?hl=en&user=t33F2BcAAAAJ,"Molecular Virology, Public Health, Biodefense",947,George Mason University,#N/A
Amanda J Anderson,https://scholar.google.com//citations?hl=en&user=b2Hnx44AAAAJ,,946,George Mason University,#N/A
Diek Wheeler,https://scholar.google.com//citations?hl=en&user=PO3rcCkAAAAJ,neuroinformatics,946,"Research Associate Professor, George Mason University",23
Maria Dakake,https://scholar.google.com//citations?hl=en&user=UXaTKJEAAAAJ,islam,935,"Associate Professor of Religious Studies, George Mason University",#N/A
Rebecca Fox,https://scholar.google.com//citations?hl=en&user=DWhLJfsAAAAJ,"teacher education, Portfolio, Reflection, International Education, Teacher Professional Development",934,"Associate Professor of Education, George Mason University",#N/A
Harbir Lamba,https://scholar.google.com//citations?hl=en&user=sWMfW50AAAAJ,"Dynamical Systems, Non-Equilibrium Economic Models",932,George Mason University,#N/A
Joan Kang Shin,https://scholar.google.com//citations?hl=en&user=SiF5hCMAAAAJ,"TESOL, TEYL, Teaching English to Young Learners, online teacher education",922,George Mason University,#N/A
Jim Hsieh,https://scholar.google.com//citations?hl=en&user=tvZpLQIAAAAJ,,921,George Mason University,#N/A
Hashemi,https://scholar.google.com//citations?hl=en&user=S7YSM7UAAAAJ,"Machine Learning, Spatial-Temporal Data, Urban Computing, Intelligent Transportation, Online Social Media",919,"Assistant Professor of Information Sciences and Technology, George Mason University",#N/A
Ellen Johnson Serafini,https://scholar.google.com//citations?hl=en&user=gir_9tIAAAAJ,"Dynamic Approaches to Instructed Second …, Learner Individual Differences, Task-based Language Teaching, Critica",917,"Associate Professor, Spanish Applied Linguistics, George Mason University",#N/A
William Yagatich,https://scholar.google.com//citations?hl=en&user=aCJv3MoAAAAJ,"Theory, Sociology of Space and Place, Sociology of Knowledge, Environmental Sociology",917,"Postdoctoral Research Fellow, Center for Climate Change Communication at George …",#N/A
Amanda L. Sanchez,https://scholar.google.com//citations?hl=en&user=cj01akEAAAAJ,"Cultural responsiveness, community-engaged research, youth mental health services, health equity-focused implementation science",912,George Mason University,#N/A
James W Harvey,https://scholar.google.com//citations?hl=en&user=W9SiYeUAAAAJ,"nonprofit marketing, marketing management, strategic planning",911,"Associate Professor of Marketing, George Mason University",#N/A
Maria Emelianenko,https://scholar.google.com//citations?hl=en&user=R2aC7mAAAAAJ,"Applied Mathematics, Scientific Computing, Numerical Analysis, Modeling",904,"Professor of Mathematics, Department of Mathematical Science, George Mason University",#N/A
Fuxin Huang,https://scholar.google.com//citations?hl=en&user=3xI4cWUAAAAJ,"CFD, ship hydrodynamics, ship hull form optimization, big data and machine learning",903,George Mason University,#N/A
Jenna R. Krall,https://scholar.google.com//citations?hl=en&user=HouZ00wAAAAJ,"Biostatistics, air pollution, environmental epidemiology, source apportionment, aging",897,"Assistant Professor, George Mason University",#N/A
Shelley Wong,https://scholar.google.com//citations?hl=en&user=frVke-UAAAAJ,Bilingual Education and TESOL,896,"Associate Professor, College of Education and Human Development, George Mason …",#N/A
Jamie L. Clark,https://scholar.google.com//citations?hl=en&user=Wcj0CwgAAAAJ,"Paleolithic Archaeology, Zooarchaeology, Modern Human Origins",893,George Mason University,#N/A
Andrew Peterson,https://scholar.google.com//citations?hl=en&user=mTy1DEUAAAAJ,"Consciousness, Medical Ethics, Brain Injury, Philosophy of Science, Vegetative State",893,George Mason University,#N/A
Xiaokuan Zhang,https://scholar.google.com//citations?hl=en&user=HbuPL5IAAAAJ,"System Security, Privacy, DeFi Security, Side Channels, Traffic Analysis",892,"Computer Science, George Mason University",#N/A
Lannan Lisa Luo,https://scholar.google.com//citations?hl=en&user=JPXjw04AAAAJ,"Sofware and Systems Security, Mobile Security, Software Engineering, Programming Language, Deep Learning",890,"Department of Computer Science, George Mason University",32
Stephen Robertson,https://scholar.google.com//citations?hl=en&user=YbcsdiUAAAAJ,"US History, American history, legal history, history of sexuality, digital history",888,"Department of History & Art History, George Mason University",#N/A
Xiaonan Guo,https://scholar.google.com//citations?hl=en&user=4fkyrCIAAAAJ,,887,George Mason University,#N/A
Susan H Allen,https://scholar.google.com//citations?hl=en&user=0yl4HiwAAAAJ,"conflict resolution, peacemaking, action research",878,"Henry Hart Rice Chair and Professor of Conflict Analysis and Resolution, George Mason …",#N/A
Theodore A. Hoch,https://scholar.google.com//citations?hl=en&user=pMgBxvwAAAAJ,"applied behavior analysis, stimulus equivalence, verbal behavior, feeding",874,George Mason University,#N/A
Sijia He,https://scholar.google.com//citations?hl=en&user=lCG5ezoAAAAJ,"Virology, Immunology, Molecular biology",874,George Mason University,#N/A
Katrin B. Anacker,https://scholar.google.com//citations?hl=en&user=UxdQ21AAAAAJ,"Housing, suburbs",867,"Professor, George Mason University",#N/A
Rajendra Kulkarni,https://scholar.google.com//citations?hl=en&user=PyTMfLUAAAAJ,"Blockchain - Cryptocurrency, Network Analysis, Complexity Science, Regional Analysis, Transportation",867,Schar School @ George Mason University,#N/A
Debora Goetz Goldberg,https://scholar.google.com//citations?hl=en&user=JdBevlYAAAAJ,"primary care, implementation science, vulnerable populations",867,George Mason University,#N/A
Naoru Koizumi,https://scholar.google.com//citations?hl=en&user=UEQwIcoAAAAJ,"bio-/spatial-statistics, GIS, end-stage kidney/liver disease, organ allocation & transplant",861,"Schar School of Policy & Government, George Mason University",#N/A
Xuesu Xiao,https://scholar.google.com//citations?hl=en&user=r9TQ2n4AAAAJ,"Robotics, Motion Planning, Machine Learning",860,"Assistant Professor, George Mason University",#N/A
Ivan Akhrymuk,https://scholar.google.com//citations?hl=en&user=D9HfwRsAAAAJ,virology,859,"Assistant Research Professor, George Mason University",#N/A
Bassam Haddad,https://scholar.google.com//citations?hl=en&user=KBtgO4kAAAAJ,Comparative Politics and Political Economy,858,George Mason University,#N/A
Minkyung Park,https://scholar.google.com//citations?hl=en&user=5lWsFuEAAAAJ,"Tourism growth, urban tourism, sustainability",855,"Professor of Tourism, George Mason University",#N/A
Jessica J Hoppner,https://scholar.google.com//citations?hl=en&user=EpCNUywAAAAJ,"Marketing Strategy, International Marketing",854,"Associate Professor of Marketing, George Mason University",#N/A
Sarah Nagro,https://scholar.google.com//citations?hl=en&user=K1dUPSwAAAAJ,"Special Education, Teacher Preparation, Student Teaching, Reflection, Video Analysis",845,"Associate Professor of Special Education, George Mason University",#N/A
Riyadh Mahmood,https://scholar.google.com//citations?hl=en&user=_d4BYvoAAAAJ,Software Engineering,841,George Mason University,#N/A
NS Duxbury,https://scholar.google.com//citations?hl=en&user=vWcxYL8AAAAJ,"Astrophysics, Mathematics, Quatum Physics",841,"Aff. Professor, GMU",#N/A
Geir Agnarsson,https://scholar.google.com//citations?hl=en&user=nFVOTY8AAAAJ,Mathematics,840,"Associate Professor, George Mason University",#N/A
Guadalupe Correa-Cabrera,https://scholar.google.com//citations?hl=en&user=bxCoHdYAAAAJ,"organized crime, migration, border studies, Mexico-United States relations, human trafficking",838,George Mason University,#N/A
Shih-Chun Chang,https://scholar.google.com//citations?hl=en&user=SUziu1sAAAAJ,Coding Theory,833,George Mason University,#N/A
Emily K. Schnebele,https://scholar.google.com//citations?hl=en&user=gVd0KRUAAAAJ,… temporal data analysis - natural hazards - GIS …,821,George Mason University,#N/A
Laurie Trenary,https://scholar.google.com//citations?hl=en&user=Yz8Vp14AAAAJ,"Climate Prediction and Variability, Statistical Analysis, Extreme Events and Climate Change",821,Research Asst. Prof. at Center of Ocean-Land-Atmosphere Studies and George Mason …,#N/A
Helen B. Chin,https://scholar.google.com//citations?hl=en&user=h8e4qKgAAAAJ,"Reproductive Epidemiology, Environmental Health",819,George Mason University,#N/A
